FID IID C1 C2 C3 C4 C5 C6 C7 C8 C9 C10
1421 NA12283 -0.00857833 -0.00519887 -0.0195398 -0.0233269 -0.0100465 -0.00987393 0.00749133 0.00531972 0.00744171 -0.00603436
13291 NA07435 -0.0037804 -0.0243645 -0.00732434 -0.0148919 0.00124352 0.00839155 0.0192792 -0.0249775 -0.00902745 0.0356084
1456 NA12828 -0.000210862 -0.00217896 0.0183351 -0.00629475 0.00717041 0.00472446 -0.00829339 0.00953198 -0.00975979 0.00281567
13292 NA07031 0.0770796 0.00352095 0.018226 -0.0304471 0.0440673 -0.0182524 0.00435809 -0.0131915 0.0096492 0.00642216
1456 NA12827 0.00792216 -0.00123179 -0.00159192 -0.000673369 -0.011854 0.00461755 0.0224779 -0.0072226 -0.00455718 0.0209162
1330 NA12343 -0.00577884 0.0148139 0.00686611 -0.00568935 0.00053639 -0.0138224 -0.0165786 0.0044403 0.000527451 -0.006209
1451 NA12778 0.0057032 -0.00998325 0.00204053 -0.00715949 -0.0026371 -0.00307366 0.0105789 0.0203865 -0.0199353 0.018193
1424 NA11930 0.00259935 0.00601116 0.00370166 -0.0014499 -0.0171024 0.0036892 -0.00161193 -0.00337502 -0.00802356 -0.00308154
1463 NA12890 -0.00760607 0.0138619 0.0124529 0.00634243 0.00561125 0.00509345 0.00862337 0.0151008 -0.00799896 0.0164321
13291 NA07037 0.00824554 -0.00418073 -0.00883339 0.00670332 -0.00815852 -0.0254599 0.0134811 0.0159208 0.0135814 0.00415457
1345 NA07347 0.00249724 -0.00843152 0.00621977 0.00280633 -0.00241531 -0.012741 -0.00259532 0.00979396 -0.0115256 0.00283652
1456 NA12829 0.00969685 -0.00488289 0.0247177 0.0110729 0.0101168 0.00342853 -0.0220695 -0.00828469 -0.0435964 -0.0237622
1444 NA12749 0.00316118 -0.00688592 -0.00115725 0.00475047 0.00912979 -0.00490006 -0.000670459 0.0174815 0.0238968 -0.0156618
1377 NA11894 0.00837214 0.00157631 -0.00657183 0.0157364 -0.0218155 0.0012046 -0.0171906 -0.0254805 -0.00431762 -0.0112171
1421 NA12286 0.0163656 -0.00648845 -0.0118273 0.00771345 -0.00793302 -0.00668654 -0.0139236 -0.039421 0.0119533 -0.00799182
1423 NA11918 -0.00515565 0.00466641 -0.00602519 0.000837974 0.00151449 -0.00955349 0.00158323 -0.0038691 0.0144924 -0.00633554
1456 NA12830 -0.000899872 -0.0783701 0.00166007 0.0381457 0.022136 -0.0193073 0.00855422 0.00372672 0.00404313 -0.006846
1377 NA11893 -0.00771134 0.0051739 0.0173553 -0.0222333 -0.00415069 0.00578289 -0.00325251 -0.01157 -0.000249508 -0.0197369
1423 NA11919 -0.00766906 -0.0151731 0.0105818 -0.012818 0.00984249 0.013929 0.0053576 0.00327972 0.00465737 -0.0035449
1353 NA12489 -0.00300669 0.00753417 0.00241951 0.00615368 -0.0200353 -0.00578154 -0.00486619 0.00214193 -0.0144781 -0.00450532
1354 NA12399 -0.00220247 0.000516319 0.00114427 -0.000881701 -0.00253711 0.00511613 -0.0062308 0.00104816 -0.00326314 -0.00232987
1355 NA12413 -0.0090163 -0.0115251 -0.00462806 -0.00763411 -0.00706666 -0.00137821 -0.00223253 -0.0228953 0.0316673 -0.0133121
1458 NA12842 0.00176213 -0.00178588 -0.00042224 -0.00550762 -0.00689128 -0.0288839 -0.0157014 0.00524368 -0.00348065 0.00474708
13281 NA12347 0.00702161 0.0160694 0.00176211 0.0033143 -0.0192081 -0.0147733 -0.0152032 -0.0173127 -0.00424059 0.0222745
1345 NA07346 0.000218482 -0.00613136 0.00509916 -0.00497706 -0.002016 -0.000393769 -0.0188301 -0.0390036 0.0142049 0.00818458
1451 NA12775 0.000723703 -0.00385209 -0.0074418 -0.00451824 -0.0169836 -0.00561908 0.0197671 0.00949307 0.0018211 0.00770134
1463 NA12889 -0.000525501 0.00120015 0.00864665 0.0100443 -0.00196976 -0.00798031 -0.00182371 0.0237169 0.017447 0.00698402
1330 NA12342 0.00733479 -0.000395878 -0.00699572 0.00917681 0.0164983 0.00323382 0.00225797 0.0175351 -0.00312443 -0.0361208
1444 NA12748 0.00828719 0.00653522 0.0118501 0.00123611 -0.029942 -0.0142858 -0.00372334 0.0131627 -0.0251968 -0.012627
1424 NA11931 0.00450123 0.00989811 0.00729325 0.00350798 -0.0188566 -0.00717445 -0.0087558 0.0244016 -0.0304074 -0.00405854
1346 NA12045 0.0136827 -0.00424526 -0.00903156 0.0139137 -0.0112997 -0.00579887 0.000470476 -0.0155217 -0.0267728 0.0119511
1444 NA12750 0.00419777 -0.0025954 -0.0175126 -0.00311637 -0.00369178 0.00322673 -0.00716225 0.0117034 -0.0149693 0.00678624
1350 NA11831 0.00514647 0.0136465 0.0142938 0.0175538 -0.0150938 0.0296164 0.00249564 -0.00787513 -0.0044134 -0.0177834
1334 NA12146 0.0019637 -0.00152882 0.00723904 -0.013334 0.00715039 0.00727744 0.0107573 -0.0146985 -0.00160566 -0.00478495
1347 NA11882 -0.0104397 0.0112991 -0.0154643 0.0153832 -0.01542 -7.9913e-05 0.0102687 0.0164212 0.0125472 0.0196581
1340 NA07056 -0.00235512 0.0475894 -0.0358598 0.043289 0.0415597 -0.0158953 0.0222547 -0.0109051 -0.0125937 0.00748016
1408 NA12154 -0.00940521 0.00619175 0.00133363 0.000356854 0.00953957 0.00938858 0.0115498 0.00183418 -0.0028977 -0.0133736
1349 NA11839 -0.00494235 0.00419098 0.0143611 0.00885296 -0.00399063 0.0109304 -0.0298502 -0.0230557 0.0224701 0.0161485
1459 NA12875 0.00775567 -0.000363969 -0.00800963 0.0155031 -0.0107619 0.00437024 0.00290528 -0.0108305 0.00535118 -0.00430101
1408 NA12156 0.0114236 0.00709913 0.0144732 0.00510222 -0.0224007 0.0130624 0.00408628 -0.0251686 0.00155859 -0.0122801
1346 NA12044 -0.00482826 -0.0129793 -0.0050596 -0.00343531 -0.000492118 0.00422934 -0.0138305 -0.000149222 0.00966169 0.0120912
1362 NA11992 0.00014686 0.0077645 0.0161269 0.017331 0.0108061 0.0132926 -0.000233824 0.0383875 -0.00728995 0.00538867
1350 NA11829 0.00328021 -0.00141242 -0.00257448 -0.00664203 -0.00315857 0.0060408 0.000188065 0.00504135 0.012117 -0.0129635
1334 NA12239 0.00574496 0.00624115 -0.00903368 -0.0047689 0.00524088 0.0256063 0.010227 0.00437828 0.0088018 -0.00509498
1447 NA12762 -0.00127419 -0.0180525 -0.00517234 -0.0118265 -0.0117922 0.0158118 0.00195925 -0.00396183 -0.0270937 0.000652618
1358 NA12716 -0.00208085 -0.00483287 0.00242186 -0.00138884 0.0165871 -0.00682401 -0.00194731 -0.00654374 -0.00953461 -0.0114613
1447 NA12760 -0.00688126 -0.0733837 0.00792749 0.036432 0.00967861 -0.0248105 0.0106089 -0.00595708 0.001726 -0.00618611
1454 NA12813 -0.0114017 0.000243645 0.000742413 -0.00172746 0.013175 0.0071609 0.00679332 -0.00723774 0.00222527 -0.000809529
1341 NA07055 0.00507089 0.0103128 0.00310283 0.00846616 0.00450476 0.00505138 -0.0180334 -0.0249898 -0.0170872 -0.0123116
1344 NA12056 0.00449439 0.00773706 -0.00461781 0.0071175 0.0107014 -4.75614e-05 0.0120849 -0.000569411 0.0177544 0.00895504
1334 NA12145 -0.00635257 -0.0068179 -0.0106647 0.00392756 -0.00175411 -0.0020822 -2.17207e-05 0.00673755 0.00737902 0.00588614
1454 NA12814 0.0133627 -0.0111264 -0.0119274 -0.00532311 -0.0219093 -0.00394521 0.0183525 -0.00615795 -0.00712543 -0.00773118
1420 NA12006 -0.00155271 0.00341564 0.00340911 -0.00128727 -0.00536634 -0.0167173 -0.0130038 -0.00336025 -0.0235724 0.00533091
1447 NA12763 0.00198295 0.00828111 0.0171509 0.0157063 -0.0214719 -0.016303 0.00274584 0.0187416 0.0155088 0.00468143
1345 NA07357 0.0014365 -0.00882429 -0.00872435 -0.0158029 0.00633459 0.0232724 0.0173598 -0.00468589 -0.00445948 0.0067239
1334 NA12144 -0.00100775 0.00044643 0.0109353 -0.0164475 -0.00885064 -0.00113269 -0.000401111 0.00967319 -0.00141353 -0.00798621
1340 NA07000 0.00298529 -0.00480224 -0.0194361 -0.00417999 0.0150429 0.00604187 0.00639813 0.00346519 0.00438629 -0.0100788
1350 NA11832 -0.00188181 -0.00549207 -0.0217633 0.0259513 0.00828505 0.025507 -0.00124437 0.0212574 0.031978 -0.0264642
1447 NA12761 0.0284986 -0.00102101 0.0105454 -0.0174544 0.00715949 -0.0183855 -0.00316563 -0.0100356 -0.000280808 0.000660829
1340 NA06994 -0.000819663 0.00610165 -0.0180657 0.00397501 0.00524433 0.0400701 -0.00129382 -0.0221601 -0.0392015 -0.0174149
1362 NA11993 0.00164698 0.00474162 0.00344847 -0.0168614 -0.0223384 -0.0112378 0.0195908 -0.0169389 0.00834508 -0.0400104
1362 NA11995 0.00392368 -0.00568515 -0.00211563 0.0114123 0.00293378 0.00499275 0.00135624 -0.0223439 0.0138474 0.00334858
1463 NA12891 -0.00245509 -0.00678279 -0.00430809 -0.00153537 -0.00609495 -0.00970279 0.000731922 0.00729138 -0.00987377 0.00760137
1444 NA12751 0.000663198 0.0156368 -0.000173458 -0.00505804 0.00363303 0.0100586 0.00346041 0.0188876 0.00263988 -0.000378677
1420 NA12005 0.00411901 0.0103007 -0.01367 -0.00116402 -0.0276813 -0.00974849 0.0136063 -0.00201211 0.00438465 0.0208124
1375 NA12234 7.79587e-05 -0.0149657 -0.0105553 0.000922878 -0.00547762 0.00136842 -0.00439963 -0.0081963 -0.00351504 0.00748412
1345 NA07345 -0.00776681 0.00921028 0.019281 -0.00816612 0.00368208 0.0138492 -0.0191957 -0.00202204 0.0243768 0.00502373
1463 NA12892 -0.00952663 0.00755835 -0.00440306 0.00300961 0.00334276 0.0382383 0.00410788 -0.000238276 -0.0169147 -0.00264916
1416 NA12248 0.00381335 -0.00188049 0.00907325 0.000109245 -0.00341761 0.0153302 -0.0332821 0.0167036 -0.00224846 -0.00410864
1459 NA12872 0.00352253 0.0107447 -0.0067951 -0.000939018 -0.0053511 -0.026835 0.0188234 0.000773728 -0.0076138 0.0217382
1408 NA12155 -0.0587494 0.00825765 0.0286015 -0.0201002 0.0167306 -0.0281235 0.0198888 -0.0137459 -0.00220233 -0.0105971
1341 NA06993 -0.00289879 0.0395333 -0.0398627 0.0475528 0.0384796 -0.0120345 0.0139287 -0.0119509 -0.0106882 -0.0058732
1350 NA11830 -0.0082766 0.00109624 0.00463843 -0.00304177 0.00862611 0.0140707 -0.0068407 0.00140571 0.0067481 0.0283949
1416 NA12249 0.0113179 0.00403115 0.00659744 0.0228313 0.00178402 -0.0106498 -0.0126187 0.00890607 0.00246839 -0.00894151
1344 NA12057 -0.00392343 0.00483124 -0.00945314 -0.022119 0.0161081 0.0418082 0.0269952 0.0141052 0.00533878 0.0121644
1454 NA12812 0.015091 -0.0116383 0.0077993 0.00402225 0.000949203 0.014711 -0.00812027 0.00526017 -0.0211929 0.0334168
1347 NA11881 -0.00179433 0.00280958 -0.00272559 -0.0198111 0.0012511 0.00270464 0.00437662 0.0300934 0.0031105 0.00617051
1362 NA11994 -0.00211679 0.00565005 -0.0132625 -0.0206097 -0.0185129 -0.0108575 0.0101401 0.0149379 0.0106196 -0.00192311
1459 NA12873 0.000543698 0.0105964 0.0191858 0.00802901 0.00430264 -0.0101078 -0.0182532 0.0184184 0.0235177 -0.022047
1454 NA12815 0.0014692 -0.0123913 0.00960784 0.00123116 0.00635406 0.0268759 -0.0091138 0.011682 0.0114321 -0.0188657
1346 NA12043 0.0664419 0.0170413 0.0158613 -0.0298546 0.0356303 -0.0146965 0.012618 0.00063614 -0.00259587 -0.00332955
1375 NA12264 -0.0568927 0.00984507 0.0287792 -0.0095802 0.0175557 -0.0259972 0.0246089 -0.0209577 -0.0205601 0.000327778
